MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue_100k,BedroomRatio,RoomsPerPerson,Income_x_Coastal,IncomeBand,AgeGroup,CoastalCategory,CaliforniaRegion
8.3252,41.0,6.984126984126984,1.0238095238095235,322.0,2.5555555555555554,37.88,-122.23,4.526,0.14659090909090905,2.7329192546583854,68.51639600000004,High income,Older,Coastal / West,Bay Area / Northern Coast
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,0.15579659106916469,2.9566847147022073,68.23750799999999,High income,Established,Coastal / West,Bay Area / Northern Coast
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,0.12951601908657123,2.957661290322581,59.80097599999996,High income,Historic,Coastal / West,Bay Area / Northern Coast
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,0.18445839874411304,2.283154121863799,46.555575,High income,Historic,Coastal / West,Bay Area / Northern Coast
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,0.17209588199139522,2.879646017699115,31.73115,Upper-middle income,Historic,Coastal / West,Bay Area / Northern Coast
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,0.23177366702937974,2.225181598062954,33.3036,Upper-middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,0.19289940828402363,2.317184643510055,30.187575,Upper-middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,0.22132731958762886,2.6828003457216942,25.740000000000002,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,0.26027397260273977,2.1185737976782755,17.184104000000012,Lower income,Older,Coastal / West,Bay Area / Northern Coast
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,0.1992110453648915,2.288201160541586,30.452399999999997,Upper-middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,0.19709355131698456,2.4197802197802196,26.457606000000016,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,0.2146731373108764,2.3291223404255317,27.01433000000002,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,0.1902850260939382,2.268670309653916,25.399500000000018,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,0.2744252873563218,2.017391304347826,22.083936000000012,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774191,37.85,-122.26,1.592,0.2368520620507,2.1806930693069306,15.83194200000001,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,0.2526785714285715,1.606886657101865,17.55250000000001,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,0.17650050864699898,2.4791929382093314,22.94924999999999,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,0.23859934853420198,1.8950617283950615,17.534053999999994,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,0.20321572130415363,2.261616161616162,16.44648600000001,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.6033,52.0,5.465454545454546,1.0836363636363635,690.0,2.5090909090909093,37.84,-122.27,1.629,0.19827012641383895,2.1782608695652175,21.52929099999999,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,0.24500665778961384,1.8361858190709048,11.229005999999993,Lower income,Older,Coastal / West,Bay Area / Northern Coast
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,0.22391702257474067,1.7642626480086114,14.170644999999993,Lower income,Older,Coastal / West,Bay Area / Northern Coast
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,0.2220853858784893,2.4,14.265749999999993,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,0.19964454976303314,1.9788980070339977,18.033561999999993,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,0.19649280575539568,2.2107355864811136,21.501999999999992,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075,0.22990654205607478,1.687697160883281,19.903464000000003,Lower income,Older,Coastal / West,Bay Area / Northern Coast
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938,0.215929203539823,1.8616144975288305,20.366316000000005,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055,0.22181243414120125,1.7223230490018149,14.970240000000002,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.391120507399578,37.84,-122.28,1.089,0.23631123919308358,1.840848806366047,13.599072000000003,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,1.32,0.2194787379972565,1.8455696202531646,13.972500000000002,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223,0.23329853862212943,2.220162224797219,15.958872000000003,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152,0.2234091964700418,1.8433219178082192,16.241220000000002,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104,0.21279916753381894,1.8732943469785577,14.860362999999992,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.375,49.0,5.0303951367781155,1.1124620060790271,754.0,2.291793313069909,37.83,-122.27,1.049,0.22114803625377638,2.1949602122015914,11.371249999999995,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097,0.21538461538461537,2.118441971383148,22.57958099999999,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
1.4861,49.0,4.6022727272727275,1.068181818181818,570.0,2.159090909090909,37.83,-122.27,0.972,0.2320987654320987,2.1315789473684212,12.290046999999994,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,1.045,0.24026696329254726,1.8216818642350556,9.073843999999996,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,1.039,0.25810721376571805,1.6770255271920091,11.677284000000002,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26,1.914,0.22448979591836735,2.1335268505079825,28.74480000000002,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.5898,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76,0.2939967105263158,1.7661583151779232,21.391748000000014,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,1.554,0.25165165165165165,1.7600422832980975,17.32782800000001,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.2852,51.0,3.759036144578314,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5,0.3322649572649572,1.8104448742746617,10.615752000000006,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
1.025,49.0,3.772486772486773,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188,0.28330995792426367,1.5432900432900434,8.466500000000005,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888,0.21263157894736842,2.0342612419700212,32.74511800000002,Upper-middle income,Historic,Coastal / West,Bay Area / Northern Coast
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,1.844,0.21552321552321552,2.186363636363636,24.883250000000018,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.6768,52.0,4.335078534031414,1.099476439790576,718.0,1.8795811518324608,37.83,-122.26,1.823,0.2536231884057971,2.306406685236769,22.110368000000015,Middle income,Historic,Coastal / West,Bay Area / Northern Coast
2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,1.425,0.2862222222222222,1.8262987012987013,16.73476000000001,Lower income,Historic,Coastal / West,Bay Area / Northern Coast
